Gender	Prior Call Center Experience	College Degree	Length of Service (years)
0	1	0	0.36
0	0	1	0.37
1	1	1	0.40
1	0	0	0.49
0	1	0	0.57
1	1	0	0.57
1	1	0	0.62
0	1	0	0.72
0	1	0	0.76
1	0	0	0.86
1	1	0	1.01
0	0	1	0.98
0	1	0	0.96
0	1	0	1.05
1	0	0	1.03
0	0	1	1.07
1	0	1	1.04
1	0	0	1.10
0	0	0	1.16
1	0	1	1.21
0	0	0	1.26
0	1	1	1.22
1	0	0	1.29
1	0	1	1.30
0	0	1	1.34
1	0	1	1.40
1	0	1	1.45
1	0	0	1.42
0	0	0	1.46
0	1	1	1.65
0	0	0	1.72
1	0	1	1.75
1	1	0	1.75
1	1	1	1.79
0	0	0	1.79
1	0	0	1.76
0	0	1	1.81
1	0	0	1.92
0	1	0	1.90
0	0	0	1.90
1	0	0	2.00
0	0	1	2.06
0	1	0	2.09
0	0	1	2.11
1	0	0	2.13
1	1	1	2.12
0	1	1	2.16
1	1	1	2.18
0	1	0	2.19
0	0	0	2.12
0	1	1	2.14
1	0	1	2.17
1	0	0	2.25
0	0	0	2.26
1	1	0	2.43
1	0	0	2.56
0	0	0	2.58
1	1	0	2.88
0	1	0	2.94
0	1	0	2.94
0	0	0	3.03
0	1	0	3.04
1	1	0	3.17
1	0	0	3.24
0	0	0	3.25
1	0	0	3.43
1	1	0	3.49
0	0	0	3.99
0	0	0	4.44
0	0	0	7.03
